,text
309,Our 14' dual axle trailer deployed to North Carolina in support of the OK-TF 1 USAR Swift Water Rescue Team #HurricaneFlorence2018 #HurricaneFlorence https://t.co/aolAMrLSH1
310,"RT @MedEconomics: Doctors who have lived through natural disasters advise their peers it’s impossible to over-prepare https://t.co/oXXpHlzoD0
#emergencypreparedness #naturaldisaster #physicians #HurricaneFlorence2018"
311,"Stephen Colbert and Emma Stone ""#RescueDong Rescue"" - #AdoptAPet who was left behind during #HurricaneFlorence2018 : https://t.co/LVxqF3Ntom  #AnimalRescue #Dogs #DogsOfTwitter"
312,The team is back! @LTWWoodworking Matthew Lupo shares some of their South Carolina experiences with @Linds_NanceWSMV  #HurricaneFlorence2018 https://t.co/Yb3OX2uZtz
313,"When #HurricaneFlorence2018 displaced my family, we had to travel to upstate NY to my hometown of Plattsburgh. While there, I took a stroll through SUNY Plattsburgh &amp; I thought this made for a pretty picture! 🙂 https://t.co/0abxMuGAcV"
314,RT @GeneHaigh: Whoa!  Thinking about my NC &amp; SC peeps - buckle up and be safe.  #HurricaneFlorence2018 https://t.co/pkwLRDeNAx
315,Serving the Hardest Hit - Center for American Progress | Via @amprog @Frederc10 @RebeccaCokley https://t.co/yO3cyxtGhl #a11y #HurricaneFlorence2018 #fema #disabilities
316,"RT @mikeshinoda: A note on #HurricaneFlorence2018–the long road to recovery has just begun. Join @musicforrelief &amp; @eifoundation to help people, animals and communities in the #Carolinas https://t.co/pPruapyDzn"
317,"RT @Viachain: VIACHAIN is Conducting PRESALE and Airdrop

GET  100% BONUS WHEN YOU BUY VPT TOKENS
 
~VISIT PINNED POST
~Like 
~Retweet Pinned 
~Comment your ETH address 

#airdrop #waves #Wavesplatform #AirdropAlert #Freecoin #FreeToken  #HurricaneFlorence2018 #WalangPasok #crypto"
318,RT @Mycroft_Masada: .@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
319,"Commissioner Causey and the @NCInsuranceDept have been doing tremendous work to educate, protect and assist NC consumers before, during and after the storm. #NCDOI #HurricaneFlorence2018 #NCStrong https://t.co/k2XiUVNoW8"
320,"RT @NHF_Magazine: Simply put, if China is forced to cull millions of pigs as they attempt to contain ASF, there will not be enough pork in the world. 
#China #AfricanSwineFever #NAFTA
#HurricaneFlorence2018

https://t.co/oSmeGeleMa https://t.co/CbXZmxDbep"
321,"#HURRICANEFLORENCE2018 CLEAN UP AND CLEANING UP AND MORE CLEANING UP THANKFUL THIS IS THE COST TO BE ALIVE &amp; WE HAVE A HOME! 
P.S. A little worried about snakes 🐍popping out of the… https://t.co/TgLtgJADkM"
322,RT @wearethepit: #HurricaneFlorence2018? No Problem... 🤘😂 @Slayer https://t.co/Nq6XxXxUfe
323,RT @wearethepit: #HurricaneFlorence2018? No Problem... 🤘😂 @Slayer https://t.co/Nq6XxXxUfe
324,#HurricaneFlorence2018? No Problem... 🤘😂 @Slayer https://t.co/Nq6XxXxUfe
325,"RT @ReneeANDSharon: A Great resource for Benefits for Disaster Relief, Unexployment Assistance &amp; More ALSO help for #HurricaneFlorence2018 #HurricaneFlorence #assistance #help #reliefinformation #floodingassistance https://t.co/NvKRELjKnC"
326,"RT @Ashadeep_Lyt: https://t.co/v89Im6QUVD 
I've recently just got into a car accident any small amount help would be appreciated 🙌

@gofundme #Share #Gofundme #Help #helpinghand #blessed #donate #Peace #love #PositiveVibes #positivity #HurricaneFlorence2018 #HurricaneFlorerence #Hurricane https://t.co/8XbUTwBFZk"
327,"RT @FLLFlyer: Standing together with @RDUAirport in support of @ILMairport, @flyOAJ and @flyewn as they recover from #HurricaneFlorence2018. #CarolinaStrong https://t.co/Ddl6woNrJi"
328,"Standing together with @RDUAirport in support of @ILMairport, @flyOAJ and @flyewn as they recover from #HurricaneFlorence2018. #CarolinaStrong https://t.co/Ddl6woNrJi"
329,RT @CleanGridView: Thanks Joel Olsen @O2emc for real time insights of #HurricaneFlorence2018 and @Aehoskins @Sunrun @Sunnova_Solar @SunnovaCEO for perspectives on resi #EnergyStorage for @TheEnergyGang https://t.co/udtJUvZlpc
330,RT @Mycroft_Masada: .@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
331,"RT @ReneeANDSharon: A Great resource for Benefits for Disaster Relief, Unexployment Assistance &amp; More ALSO help for #HurricaneFlorence2018 #HurricaneFlorence #assistance #help #reliefinformation #floodingassistance https://t.co/NvKRELjKnC"
332,"RT @ReneeANDSharon: A Great resource for Benefits for Disaster Relief, Unexployment Assistance &amp; More ALSO help for #HurricaneFlorence2018 #HurricaneFlorence #assistance #help #reliefinformation #floodingassistance https://t.co/NvKRELjKnC"
333,RT @Mycroft_Masada: .@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
334,RT @Mycroft_Masada: .@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
335,"RT @Ashadeep_Lyt: https://t.co/v89Im6QUVD 
I've recently just got into a car accident any small amount help would be appreciated 🙌

@gofundme #Share #Gofundme #Help #helpinghand #blessed #donate #Peace #love #PositiveVibes #positivity #HurricaneFlorence2018 #HurricaneFlorerence #Hurricane https://t.co/8XbUTwBFZk"
336,"https://t.co/v89Im6QUVD 
I've recently just got into a car accident any small amount help would be appreciated 🙌

@gofundme #Share #Gofundme #Help #helpinghand #blessed #donate #Peace #love #PositiveVibes #positivity #HurricaneFlorence2018 #HurricaneFlorerence #Hurricane https://t.co/8XbUTwBFZk"
337,RT @Mycroft_Masada: .@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
338,@NewHanoverCo please clarify for @Assurant that you declared state of emergency #HurricaneFlorence2018 and urged residents to evacuate. @Assurant will not help me because there is no official mandatory evacuation for 28405 which is a few miles from beach.  I suffered loss of use
339,RT @claudeforthomme: So useful: An app to predict where hurricanes go! It helped for #HurricaneFlorence2018. Find the best #Apps here:  @impakterdotcom https://t.co/nKsFyDXDdW https://t.co/woRz8XfLvq
340,.@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
341,"#NAAFA can help you help #HurricaneFlorence survivors with plus-size clothing.

Which is a good way to celebrate Sukkot, among other things!

#HurricaneFlorence2018 #EqualityAtEverySize #WeComeInAllSizes... https://t.co/qW1zaLA89h"
342,"RT @eartheats: ""Wet animal waste"" conjures up a disturbing image. The whole flooding of hog lagoons is disturbing--no way around it. @chadbouchard #HurricaneFlorence2018
#hoglagoons https://t.co/p8xHgU4jxo https://t.co/ojBjbEwiL9"
343,"A Great resource for Benefits for Disaster Relief, Unexployment Assistance &amp; More ALSO help for #HurricaneFlorence2018 #HurricaneFlorence #assistance #help #reliefinformation #floodingassistance https://t.co/NvKRELjKnC"
344,RT @drewtubehd: Out of school Thursday and Friday  🌪💦 #HurricaneFlorence2018
345,RT @drewtubehd: It’s starting here.  😬💦💨 #HurricaneFlorence2018  #huricaneFlorence
346,RT @kristina_wong: Faller says hospital ship USNS Comfort is heading down to Colombia soon to help relieve some of the spillover effects from Venezuela. Deployment was delayed due to #HurricaneFlorence2018.
347,Habitat for Humanity Disaster Response #VOLUNTEER #SUPPORT #DONATE for Hurricane Florence Gorden Helene Isaac #HurricaneFlorence2018 #hurricaneisaac #disasterrelief #florence https://t.co/Z97GbFn3dG
348,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
349,RT @ReneeANDSharon: Get assistance after Hurricane Florence Apply Online Today #disasterelief #oragnizations #flooding #hurricane https://t.co/GVefJNtF6X #HurricaneFlorence2018
350,Get assistance after Hurricane Florence Apply Online Today #disasterelief #oragnizations #flooding #hurricane https://t.co/GVefJNtF6X #HurricaneFlorence2018
351,RT @JLedgy84: Folly Rd in Socastee is completely flooded. @wpdeabc15 @EdPiotrowski #HurricaneFlorence2018 #MyrtleBeach #flood #aftermath https://t.co/LpP1Gs9wID
352,@LilSubHomestead @Nationwide literally we won't be seen until October 6th. Christian Saunders rep😞 #hurricaneflorence2018 #nc #flo
353,During #HurricaneFlorence2018 my wife had her flight rerouted to a different airport. @Hertz saw it fit to use a higher rate than her on-paper contract rate when she picked up her car.  The manager refused to match her original contracted rate.
354,"RT @mikeshinoda: A note on #HurricaneFlorence2018–the long road to recovery has just begun. Join @musicforrelief &amp; @eifoundation to help people, animals and communities in the #Carolinas https://t.co/pPruapyDzn"
355,RT @ucfoodietv: Flood Relief Concert.  October 18th. 7pm House of Blues Myrtle Beach.  We will be there. #HurricaneFlorence2018 #RockOut4Charity #HouseofBlue #MyrtleBeach https://t.co/Eux27vU7IW
356,"RT @Industry_About: #Solar Power Plants Stand Up Well To #Hurricane #Florence (#USA-#NorthCarolina)
https://t.co/YIeSmXi1ic

#energy #renewables #RenewableEnergy #HurricaneFlorence #HurricaneFlorence2018 #natiraldisasters #climatechange #UnitedStates #solarenergy https://t.co/MGEKjKdJMu"
357,RT @kristina_wong: Faller says hospital ship USNS Comfort is heading down to Colombia soon to help relieve some of the spillover effects from Venezuela. Deployment was delayed due to #HurricaneFlorence2018.
358,Faller says hospital ship USNS Comfort is heading down to Colombia soon to help relieve some of the spillover effects from Venezuela. Deployment was delayed due to #HurricaneFlorence2018.
359,"RT @Industry_About: #Solar Power Plants Stand Up Well To #Hurricane #Florence (#USA-#NorthCarolina)
https://t.co/YIeSmXi1ic

#energy #renewables #RenewableEnergy #HurricaneFlorence #HurricaneFlorence2018 #natiraldisasters #climatechange #UnitedStates #solarenergy https://t.co/MGEKjKdJMu"
360,"RT @Industry_About: #Solar Power Plants Stand Up Well To #Hurricane #Florence (#USA-#NorthCarolina)
https://t.co/YIeSmXi1ic

#energy #renewables #RenewableEnergy #HurricaneFlorence #HurricaneFlorence2018 #natiraldisasters #climatechange #UnitedStates #solarenergy https://t.co/MGEKjKdJMu"
361,"#Solar Power Plants Stand Up Well To #Hurricane #Florence (#USA-#NorthCarolina)
https://t.co/YIeSmXi1ic

#energy #renewables #RenewableEnergy #HurricaneFlorence #HurricaneFlorence2018 #natiraldisasters #climatechange #UnitedStates #solarenergy https://t.co/MGEKjKdJMu"
362,"Ever swept an entire house w/ wall 2 wall carpet w/ a nylon broom after a hurricane? 0/10 do not recommend. Wish I had a natural bristle, stiff broom. This is dumb af. I’m gonna automatically hate anyone named Florence for the rest of my life. #HurricaneFlorence2018 #aftermath"
363,"RT @FOURPAWSUSA: UPDATE #HurricaneFlorence2018: It's inspiring to see people come together from all walks of life to join our cause in support of animals affected by disaster. Fire fighters, families who just lost pets, and young kids with a passion for animals were among some of our supporters. https://t.co/1JJl4TXEvM"
364,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
365,RT @ucfoodietv: Flood Relief Concert.  October 18th. 7pm House of Blues Myrtle Beach.  We will be there. #HurricaneFlorence2018 #RockOut4Charity #HouseofBlue #MyrtleBeach https://t.co/Eux27vU7IW
366,"ICYMI: The Price gougers are out in the wake of hurricane Florence, we'll explain why price gouging is good. From this week's #Podcast. https://t.co/4Us2cC98dU #tlot #tcot #HurricaneFlorence #HurricaneFlorence2018"
367,"Good info! Please retweet! #HurricaneFlorence2018 

https://t.co/0GWJIcSn4N"
368,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
369,RT @santeecooper: We've done a lot of preventative work to mitigate flooding issues from #HurricaneFlorence2018 Read more at https://t.co/Ez9ig3ZkJw
370,"676. To our family, friends and loved-ones impacted by #HurricaneHarvey2017; #HurricaneMaria2017,  I ask that you take heed of the words of @donniemcclurk13  life-changing gospel hit:  STAND.  #HurricaneFlorence2018 #KATRINATAUGHTUS2018 https://t.co/4qvWuGBJ9K"
371,#CarolinaStrong #HurricaneFlorence2018. #scflooding #ConwayFlorenceFlood #horrycounty #GeorgetownSC https://t.co/58nxrBhpWg
372,All my friends have heard from their adjusters but me.  I filed our claim a week ago. May be time to leave @nationwide 😞 Any insurance recommendations? #hurricaneflorence2018 #flo #nc #home
373,RT @ucfoodietv: Flood Relief Concert.  October 18th. 7pm House of Blues Myrtle Beach.  We will be there. #HurricaneFlorence2018 #RockOut4Charity #HouseofBlue #MyrtleBeach https://t.co/Eux27vU7IW
374,RT @wnctimes: NC Floodwaters recede State focuses on Recovery https://t.co/S5WzF8MaRE #NC #HurricaneFlorerence #HurricaneFlorence2018 #hurricane #floodrelief #floodrecovery https://t.co/Bzzu6dcipR
375,NC Floodwaters recede State focuses on Recovery https://t.co/S5WzF8MaRE #NC #HurricaneFlorerence #HurricaneFlorence2018 #hurricane #floodrelief #floodrecovery https://t.co/Bzzu6dcipR
376,@Charleygeorge09 @SonofLiberty357 @gatewaypundit SHE was #HurricaneFlorence2018  ??????
377,"RT @will_doran: Damage just to crops in Eastern NC--not even counting all the roads, homes, cars, boats and businesses--will ""easily"" be in the billions of dollars, Agriculture Commissioner Steve Troxler says

#HurricaneFlorence2018 #HurricaneFlorence https://t.co/zV74u4qpaK"
378,#Trump-flood rescue meme resurfaces after #HurricaneFlorence2018  https://t.co/fkM2epAyca
379,"Millions of dead chickens and pigs found in hurricane floods 

#HurricaneFlorence2018 #CarolinaStrong #Floods #flooding 

https://t.co/RJ0QJ1WpTJ https://t.co/humdoYOvPK"
380,"RT @will_doran: Damage just to crops in Eastern NC--not even counting all the roads, homes, cars, boats and businesses--will ""easily"" be in the billions of dollars, Agriculture Commissioner Steve Troxler says

#HurricaneFlorence2018 #HurricaneFlorence https://t.co/zV74u4qpaK"
381,RT @Rob_Rogers: Hurricane Donald: Trump's followers refuse to see the truth about the dangerous and destructive wind that is blowing.  https://t.co/wOZ307HUHq #HurricaneFlorence2018 #Trump #stormsurge #Disaster @realDonaldTrump https://t.co/hmPE832Q5a
382,RT @Rob_Rogers: Hurricane Donald: Trump's followers refuse to see the truth about the dangerous and destructive wind that is blowing.  https://t.co/wOZ307HUHq #HurricaneFlorence2018 #Trump #stormsurge #Disaster @realDonaldTrump https://t.co/hmPE832Q5a
383,RT @ucfoodietv: Fall Golf in the Carolinas Despite Hurricane Florence.  Rivers Edge Golf Fast Re-Open https://t.co/WmVAmgwf47  #RiversEdgeGolf #ShallotteNC #CarolinaGolf #EastCoastGolfManagement #HurricaneFlorence2018
384,16yr old Wilmington Girl created this Awesome Hurricane Florence Compilation Video.  ✅out her work.💪🏻👊🏻Click here:➡️ https://t.co/6xx1H1IUAs 👊🏻💪🏻 #girlpower #wilmingtonnc #capefearstrong #ilmstrong #hurricaneflorence2018
385,"Oh, come on, people. You’ve got to do better than this. If you’re not up to the task of honoring the covenant you made with your pets when you took them in, DON’T ADOPT ANY. This is beyond appalling. #petsarefamily #dogsarefamily #HurricaneFlorence2018 https://t.co/9kkL8YbEFc"
386,RT @JLedgy84: Folly Rd in Socastee is completely flooded. @wpdeabc15 @EdPiotrowski #HurricaneFlorence2018 #MyrtleBeach #flood #aftermath https://t.co/LpP1Gs9wID
387,RT @RealGeoEngWatch: Geoengineering Microwave Transmissions And Their Connection To Hurricane Florence - https://t.co/2BLZFcikmo #HurricaneFlorence2018
388,"RT @will_doran: Damage just to crops in Eastern NC--not even counting all the roads, homes, cars, boats and businesses--will ""easily"" be in the billions of dollars, Agriculture Commissioner Steve Troxler says

#HurricaneFlorence2018 #HurricaneFlorence https://t.co/zV74u4qpaK"
389,RT @JLedgy84: Folly Rd in Socastee is completely flooded. @wpdeabc15 @EdPiotrowski #HurricaneFlorence2018 #MyrtleBeach #flood #aftermath https://t.co/LpP1Gs9wID
390,RT @DrPaulNassif: Praying for all those who are being effected by Hurricane Florence. Stay strong. 🙏 #HurricaneFlorence2018
391,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
392,"RT @will_doran: Damage just to crops in Eastern NC--not even counting all the roads, homes, cars, boats and businesses--will ""easily"" be in the billions of dollars, Agriculture Commissioner Steve Troxler says

#HurricaneFlorence2018 #HurricaneFlorence https://t.co/zV74u4qpaK"
393,"Best Compilation Video I’ve seen, created by 16 yr old! #HurricaneFlorence2018 #wilmingtonnc #CapeFearStrong https://t.co/1AAkqnAo4W https://t.co/0cwEfXNG4V"
394,"RT @RStradling: I-95 reopens, but hundreds of other roads still closed, mostly in southeastern #NorthCarolina. @NCDOT #HurricaneFlorence2018 https://t.co/uz4NZ4aBVJ"
395,"RT @NHF_Magazine: Simply put, if China is forced to cull millions of pigs as they attempt to contain ASF, there will not be enough pork in the world. 
#China #AfricanSwineFever #NAFTA
#HurricaneFlorence2018

https://t.co/oSmeGeleMa https://t.co/CbXZmxDbep"
396,"RT @RStradling: I-95 reopens, but hundreds of other roads still closed, mostly in southeastern #NorthCarolina. @NCDOT #HurricaneFlorence2018 https://t.co/uz4NZ4aBVJ"
397,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
398,#DisabilityAtCAP #HurricaneFlorence2018 #CripTheVote https://t.co/HKWtSeWnK1
399,RT @RealGeoEngWatch: Geoengineering Microwave Transmissions And Their Connection To Hurricane Florence - https://t.co/2BLZFcikmo #HurricaneFlorence2018
400,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
401,I love stories like this! #food #HurricaneFlorence2018 https://t.co/ywwk9FHzdD
402,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
403,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
404,RT @NEAToday: Our brothers and sisters in North Carolina and South Carolina still need our help. https://t.co/rlo5GMMyS1 #HurricaneFlorence2018
405,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
406,RT @mbrooksnc: Dr Jay Golden talks about ⁦@EastCarolina⁩ Small Business Recovery Center set up to help eNC post #HurricaneFlorence2018 ⁦⁦@ECUResearchVC⁩ #ECU #ECUUndaunted https://t.co/AFHbckmG6f
407,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
408,"RT @TSWDBoard: This week during our Local Area Annual Training, we will be collecting items for #HurricaneFlorence2018 relief efforts! Feel free to stop by with non-perishable foods and hygiene items at the CCCC Center for Workforce Innovation! @iamcccc @ncworkssanford https://t.co/NnYwjbtlEH"
409,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
410,"RT @drdavecoyle: So. Much. Water.

#HurricaneFlorence2018 was big news during the storm, but since the storm passed we've heard less and less about it. That is, unless you live in the Carolinas. The flooding is remarkable. The destruction is nearly unfathomable. Recovery will take a long time. https://t.co/tSZSrzcJyo"
411,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
412,RT @GeauxRescue: Our Facebook page has far more content so if you have not went and followed our page there please do so. https://t.co/YPjKFDfKsU #facebook #Twitter #HurricaneFlorence #HurricaneFlorence2018
413,"The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
414,RT @MrsAKretz: EWMMS Clubs are helping out this great cause!  #HurricaneFlorence2018 https://t.co/d1ksI8wuZh
415,"RT @MssLiberty: Harm from #HurricaneFlorence2018 continues as rivers overflow, dams are stressed and ash seeps into rivers. Lord be with those afflicted. Our Christian town was miraculously spared any harm, as Florence made a wild turn away, all praise to the Lord God!! 🙌"
416,RT @mbrooksnc: Dr Jay Golden talks about ⁦@EastCarolina⁩ Small Business Recovery Center set up to help eNC post #HurricaneFlorence2018 ⁦⁦@ECUResearchVC⁩ #ECU #ECUUndaunted https://t.co/AFHbckmG6f
417,RT @Ms_JWillard: #RAK’s first meeting is all about #HurricaneFlorence2018 relief @CRHSRedWolves @CRHSImpressions @CRHSMediaCenter #RAKattack https://t.co/Jnhzd1lfyj
418,"RT @ScienceChannel: Florence's floodwaters are bringing other dangers, like these floating colonies of stinging fire ants. Another reason to stay sheltered. https://t.co/EVBXyPRPjI #hurricane #floods #hurricaneflorence2018 #weather #NorthCarolina #flooding #climatechange #science"
419,"RT @ScienceChannel: Florence's floodwaters are bringing other dangers, like these floating colonies of stinging fire ants. Another reason to stay sheltered. https://t.co/EVBXyPRPjI #hurricane #floods #hurricaneflorence2018 #weather #NorthCarolina #flooding #climatechange #science"
420,"RT @Viachain: VIACHAIN is Conducting PRESALE and Airdrop

GET  100% BONUS WHEN YOU BUY VPT TOKENS
 
~VISIT PINNED POST
~Like 
~Retweet Pinned 
~Comment your ETH address 

#airdrop #waves #Wavesplatform #AirdropAlert #Freecoin #FreeToken  #HurricaneFlorence2018 #WalangPasok #crypto"
421,"RT @Viachain: VIACHAIN is Conducting PRESALE and Airdrop

GET  100% BONUS WHEN YOU BUY VPT TOKENS
 
~VISIT PINNED POST
~Like 
~Retweet Pinned 
~Comment your ETH address 

#airdrop #waves #Wavesplatform #AirdropAlert #Freecoin #FreeToken  #HurricaneFlorence2018 #WalangPasok #crypto"
422,"RT @mikeshinoda: A note on #HurricaneFlorence2018–the long road to recovery has just begun. Join @musicforrelief &amp; @eifoundation to help people, animals and communities in the #Carolinas https://t.co/pPruapyDzn"
423,"RT @drdavecoyle: So. Much. Water.

#HurricaneFlorence2018 was big news during the storm, but since the storm passed we've heard less and less about it. That is, unless you live in the Carolinas. The flooding is remarkable. The destruction is nearly unfathomable. Recovery will take a long time. https://t.co/tSZSrzcJyo"
424,So useful: An app to predict where hurricanes go! It helped for #HurricaneFlorence2018. Find the best #Apps here:  @impakterdotcom https://t.co/nKsFyDXDdW https://t.co/woRz8XfLvq
425,"If your business was affected by #hurricaneflorence2018, check out how our #TrustedAdvisors @BKDForensics can help. https://t.co/cnUHHC0OrV"
426,"RT @MusicForRelief: As the floods recede in #NorthCarolina the over flow of fish remain on the highway for clean up crews and restorative programs to the environment post 
#HurricaneFlorence2018 https://t.co/9lGVguBLVz"
427,"RT @SenoritaMariaxo: I just want to thank @ipsy for making sure I got my glam bag! My house is damaged from #HurricaneFlorence2018 and this week has been so hard on me and my family, but this little bag and the contents were the pick me up I needed. 💖 #ipsy https://t.co/6MJYdl2wtF"
428,RT @GeauxRescue: Our Facebook page has far more content so if you have not went and followed our page there please do so. https://t.co/YPjKFDfKsU #facebook #Twitter #HurricaneFlorence #HurricaneFlorence2018
429,"RT @Andy4691: @realDonaldTrump Why did #Trump spend so much time trashing #PuertoRico on Twitter after he left them helpless. Wheres the billions of dollars? They still dont have resources. It took them 11 months just to get electricity.

#PuertoRicoDeathToll
#HurricaneFlorence
#HurricaneFlorence2018"
430,RT @ucfoodietv: Flood Relief Concert.  October 18th. 7pm House of Blues Myrtle Beach.  We will be there. #HurricaneFlorence2018 #RockOut4Charity #HouseofBlue #MyrtleBeach https://t.co/Eux27vU7IW
431,"RT @brandilmelb: Ten days after the deadly hurricane hit, rivers are continuing to crest and some South Carolina residents are preparing to evacuate. 
In Horry County, South Carolina, flooding is expected to reach or exceed levels #HurricaneFlorence  #HurricaneFlorence2018 https://t.co/ECqtRrfDck"
432,"RT @brandilmelb: Ten days after the deadly hurricane hit, rivers are continuing to crest and some South Carolina residents are preparing to evacuate. 
In Horry County, South Carolina, flooding is expected to reach or exceed levels #HurricaneFlorence  #HurricaneFlorence2018 https://t.co/ECqtRrfDck"
433,"Ten days after the deadly hurricane hit, rivers are continuing to crest and some South Carolina residents are preparing to evacuate. 
In Horry County, South Carolina, flooding is expected to reach or exceed levels #HurricaneFlorence  #HurricaneFlorence2018 https://t.co/ECqtRrfDck"
434,"RT @njkardashian: To survive in peace and harmony, united and strong, we must have one people, one nation, one flag. My thoughts &amp; prayers are with you East Coast. May God protect you all &amp; May our American Flag 🇺🇸 stand strong! 
#HurricaneFlorence2018 https://t.co/jTTSgjE8tH"
435,"RT @LagunaAntifaBLM: Holy shit. I just took this picture of a shark on I40 near Wilmington, NC  #HurricaneFlorence2018 #HurricaneFlorence https://t.co/7UQ9EvVbMC"
436,"RT @izzieadams1: Sofie found the longer version of Army Strong ‘AMAZING GRACE’ &amp; America! Love this so much. These military men &amp; woman. You’re all awesome. God Bless you all. #WWG1WGA #HurricaneFlorence2018 #WalkAwayFromDemocrats2018 #Qanon #2A #1A 
 https://t.co/ZUTG2Wb6MX https://t.co/bR1ky4RPjg"
437,"RT @FOURPAWSUSA: UPDATE #HurricaneFlorence2018: It's inspiring to see people come together from all walks of life to join our cause in support of animals affected by disaster. Fire fighters, families who just lost pets, and young kids with a passion for animals were among some of our supporters. https://t.co/1JJl4TXEvM"
